x (geom),y (geom),radius,x (center),y (center),thresh (respect),thresh (absolute),Mapped,cross15,fdr
31.0,21.0,1.1313708499,31.0,21.0,1.50549309081,84.6136175263,True,False,0.036395812957
40.0,31.0,1.1313708499,40.0,31.0,1.0957360267,88.0139983449,True,False,-0.00542884930761
91.0,81.0,1.1313708499,91.0,81.0,1.64522223079,121.90284065,True,False,0.036395812957
104.0,96.0,1.1313708499,104.0,96.0,1.65998490543,118.414333469,True,False,-0.148865916111
118.0,105.0,1.1313708499,118.0,105.0,1.10564594882,129.773364759,True,False,0.262766870796
184.0,177.0,1.1313708499,184.0,177.0,1.16497397482,82.6838588137,True,False,0.225472895619
270.0,258.0,1.1313708499,270.0,258.0,2.27964963051,148.08941996,True,False,-0.559015408648
321.0,312.0,1.1313708499,321.0,312.0,1.24194199938,96.0673247789,True,False,-0.00542884930761
349.0,337.0,1.1313708499,349.0,337.0,1.17202184065,78.6552945469,True,False,-0.559015408648
336.0,326.0,1.1313708499,335.0,326.0,1.64609709194,104.641109947,True,False,-0.00542884930761
368.0,361.0,1.05257895142,368.0,361.0,2.15990322975,142.823669353,True,False,0.225472895619
391.0,380.0,1.1313708499,391.0,380.0,1.45567168285,107.500472859,True,False,0.0129483051899
401.0,391.0,1.1313708499,401.0,391.0,1.86382206182,120.191526635,True,False,0.036395812957
409.0,402.0,1.1313708499,409.0,402.0,1.3131880558,92.5318705808,True,False,0.225472895619
414.0,401.0,1.1313708499,414.0,401.0,1.42068576708,75.0500474388,False,False,0.262766870796
431.0,424.0,1.1313708499,431.0,424.0,1.00590195249,204.832353052,True,False,0.225472895619
578.0,565.0,1.1313708499,578.0,565.0,1.69040063983,88.7367901173,True,False,0.262766870796
589.0,578.0,1.1313708499,589.0,578.0,2.99553786761,171.285195577,True,False,0.0129483051899
602.0,594.0,1.1313708499,602.0,594.0,1.14843820718,92.2567102586,False,False,-0.148865916111
606.0,599.0,1.1313708499,606.0,599.0,2.77309879425,111.848829548,True,False,0.225472895619
659.0,653.0,1.1313708499,659.0,653.0,1.71507121274,122.38365862,True,False,0.0192100514871
668.0,659.0,1.1313708499,668.0,659.0,1.55051430435,137.914293189,True,False,-0.00542884930761
673.0,667.0,1.1313708499,673.0,667.0,1.49530436944,143.064771575,True,False,0.0192100514871
673.0,659.0,1.1313708499,673.0,659.0,1.66583026443,66.9731141167,True,False,-0.853321730908
737.0,727.0,1.1313708499,737.0,727.0,1.08968953405,124.739311193,True,False,0.036395812957
753.0,737.0,1.1313708499,753.0,737.0,3.01971337524,103.146493287,True,False,0.559998048504
782.0,776.0,1.1313708499,782.0,776.0,1.00091523808,100.680520931,True,False,0.0192100514871
782.0,772.0,1.1313708499,782.0,772.0,1.31888580971,75.7274717275,False,False,0.036395812957
788.0,777.0,1.1313708499,788.0,777.0,1.48247507352,105.018788674,True,False,0.0129483051899
795.0,786.0,1.1313708499,795.0,786.0,2.05151610945,100.099849684,False,False,-0.00542884930761
825.0,819.0,1.05257895142,825.0,819.0,1.93572267063,145.375182123,True,False,0.0192100514871
854.0,843.0,1.1313708499,854.0,843.0,1.26808108138,99.9895577544,True,False,0.0129483051899
984.0,977.0,1.1313708499,984.0,977.0,1.40836749146,164.611708854,True,False,0.225472895619
997.0,984.0,1.1313708499,997.0,984.0,1.74634488384,118.242671977,True,False,0.262766870796
1012.0,1001.0,1.1313708499,1012.0,1001.0,1.94606298963,145.694489067,True,False,0.0129483051899
1012.0,997.0,1.1313708499,1012.0,997.0,1.65521669894,95.7833163708,True,False,0.0741372916198
1025.0,1012.0,1.1313708499,1025.0,1012.0,1.38726563577,76.0119373189,False,False,0.262766870796
1048.0,1042.0,1.1313708499,1048.0,1042.0,1.32982277164,158.848700105,True,False,0.0192100514871
1070.0,1057.0,1.1313708499,1070.0,1057.0,1.83034854811,94.7241291255,True,False,0.262766870796
1202.0,1189.0,1.1313708499,1202.0,1189.0,1.58378605564,83.5732463967,True,False,0.262766870796
1220.0,1210.0,1.1313708499,1220.0,1210.0,1.23922001582,89.1585007371,True,False,0.036395812957
1238.0,1229.0,1.1313708499,1238.0,1228.0,1.54439365809,131.053143509,True,False,0.036395812957
1344.0,1339.0,1.1313708499,1344.0,1339.0,1.05972092413,120.870827633,False,False,-0.265059078558
1354.0,1345.0,1.1313708499,1354.0,1345.0,1.50043269422,90.2153085942,True,False,-0.00542884930761
1431.0,1421.0,1.1313708499,1431.0,1421.0,1.22838735408,112.0440766,True,False,0.036395812957
1472.0,1463.0,1.1313708499,1472.0,1463.0,1.13151056766,106.801184145,True,False,-0.00542884930761
1491.0,1483.0,1.1313708499,1491.0,1483.0,1.86126296875,98.8592937348,False,False,-0.148865916111
1502.0,1491.0,1.1313708499,1502.0,1491.0,1.52729689918,69.1185711997,False,False,0.0129483051899
1483.0,1476.0,1.1313708499,1482.0,1476.0,1.10879298258,153.633499292,True,False,0.0192100514871
1674.0,1664.0,1.1313708499,1673.0,1664.0,1.14950850546,126.102995761,True,False,-0.00542884930761
1704.0,1690.0,1.1313708499,1704.0,1690.0,1.7764591746,105.315452327,True,False,-0.853321730908
1711.0,1705.0,1.1313708499,1711.0,1705.0,1.72778985884,140.809868107,True,False,0.0192100514871
1726.0,1718.0,1.05257895142,1725.0,1717.0,1.12725818014,99.8453427157,False,False,-0.148865916111
1735.0,1726.0,1.1313708499,1735.0,1726.0,1.28219369004,102.186700255,False,False,-0.00542884930761
