Chr;Motif name;Motif pos
chr1;stkA_M0775_1.02;36
chr1;stkA_M0775_1.02;173
chr1;stkA_M0775_1.02;191
chr1;stkA_M0775_1.02;209
chr1;stkA_M0775_1.02;287
chr1;stkA_M0775_1.02;322
chr1;stkA_M0775_1.02;362
chr1;stkA_M0775_1.02;368
chr1;stkA_M0775_1.02;421
chr1;stkA_M0775_1.02;422
chr1;stkA_M0775_1.02;456
chr1;stkA_M0775_1.02;461
chr1;stkA_M0775_1.02;475
chr1;stkA_M0775_1.02;509
chr1;stkA_M0775_1.02;519
chr1;stkA_M0775_1.02;552
chr1;stkA_M0775_1.02;778
chr1;stkA_M0775_1.02;883
chr1;stkA_M0775_1.02;887
chr1;stkA_M0775_1.02;890
chr1;stkA_M0775_1.02;985
chr1;stkA_M0775_1.02;999
chr1;stkA_M0775_1.02;1068
chr1;stkA_M0775_1.02;1107
chr1;stkA_M0775_1.02;1199
chr1;stkA_M0775_1.02;1291
chr1;stkA_M0775_1.02;1411
chr1;stkA_M0775_1.02;1467
chr1;stkA_M0775_1.02;1579
chr1;stkA_M0775_1.02;1650
chr1;stkA_M0775_1.02;1740
chr1;stkA_M0775_1.02;1831
chr1;stkA_M0775_1.02;1848
chr1;stkA_M0775_1.02;1852
chr1;stkA_M0775_1.02;1972
chr1;stkA_M0775_1.02;1993
chr1;stkA_M0775_1.02;2015
chr1;stkA_M0775_1.02;2038
chr1;stkA_M0775_1.02;2066
chr1;stkA_M0775_1.02;2169
chr1;stkA_M0775_1.02;2233
chr1;stkA_M0775_1.02;2295
chr1;stkA_M0775_1.02;2326
chr1;stkA_M0775_1.02;2336
chr1;stkA_M0775_1.02;2406
chr1;stkA_M0775_1.02;345
chr1;stkA_M0775_1.02;352
chr1;stkA_M0775_1.02;361
chr1;stkA_M0775_1.02;403
chr1;stkA_M0775_1.02;449
chr1;stkA_M0775_1.02;544
chr1;stkA_M0775_1.02;562
chr1;stkA_M0775_1.02;627
chr1;stkA_M0775_1.02;713
chr1;stkA_M0775_1.02;741
chr1;stkA_M0775_1.02;761
chr1;stkA_M0775_1.02;885
chr1;stkA_M0775_1.02;1035
chr1;stkA_M0775_1.02;1099
chr1;stkA_M0775_1.02;1197
chr1;stkA_M0775_1.02;1253
chr1;stkA_M0775_1.02;1358
chr1;stkA_M0775_1.02;1445
chr1;stkA_M0775_1.02;1446
chr1;stkA_M0775_1.02;1554
chr1;stkA_M0775_1.02;1606
chr1;stkA_M0775_1.02;1639
chr1;stkA_M0775_1.02;1664
chr1;stkA_M0775_1.02;1756
chr1;stkA_M0775_1.02;1764
chr1;stkA_M0775_1.02;2025
chr1;stkA_M0775_1.02;2030
chr1;stkA_M0775_1.02;2186
chr1;stkA_M0775_1.02;2360
chr1;stkA_M0775_1.02;2410
chr1;stkA_M0775_1.02;2431
chr1;stkA_M0775_1.02;2446
chr2;stkA_M0775_1.02;15
chr2;stkA_M0775_1.02;50
chr2;stkA_M0775_1.02;53
chr2;stkA_M0775_1.02;63
chr2;stkA_M0775_1.02;120
chr2;stkA_M0775_1.02;122
chr2;stkA_M0775_1.02;124
chr2;stkA_M0775_1.02;152
chr2;stkA_M0775_1.02;179
chr2;stkA_M0775_1.02;220
chr2;stkA_M0775_1.02;227
chr2;stkA_M0775_1.02;281
chr2;stkA_M0775_1.02;300
chr2;stkA_M0775_1.02;327
chr2;stkA_M0775_1.02;343
chr2;stkA_M0775_1.02;369
chr2;stkA_M0775_1.02;444
chr2;stkA_M0775_1.02;468
chr2;stkA_M0775_1.02;479
chr2;stkA_M0775_1.02;489
chr2;stkA_M0775_1.02;501
chr2;stkA_M0775_1.02;501
chr2;stkA_M0775_1.02;562
chr2;stkA_M0775_1.02;572
chr2;stkA_M0775_1.02;597
chr2;stkA_M0775_1.02;637
chr2;stkA_M0775_1.02;701
chr2;stkA_M0775_1.02;880
chr2;stkA_M0775_1.02;950
chr2;stkA_M0775_1.02;952
chr2;stkA_M0775_1.02;977
chr2;stkA_M0775_1.02;1066
chr2;stkA_M0775_1.02;1154
chr2;stkA_M0775_1.02;1220
chr2;stkA_M0775_1.02;1332
chr2;stkA_M0775_1.02;1436
chr2;stkA_M0775_1.02;1437
chr2;stkA_M0775_1.02;1564
chr2;stkA_M0775_1.02;1577
chr2;stkA_M0775_1.02;1670
chr2;stkA_M0775_1.02;1750
chr2;stkA_M0775_1.02;1896
chr2;stkA_M0775_1.02;1905
chr2;stkA_M0775_1.02;1997
chr2;stkA_M0775_1.02;2082
chr2;stkA_M0775_1.02;2177
chr2;stkA_M0775_1.02;2245
chr2;stkA_M0775_1.02;2265
chr2;stkA_M0775_1.02;2271
chr2;stkA_M0775_1.02;2407
chr2;stkA_M0775_1.02;2461
chr2;stkA_M0775_1.02;2480
chr2;stkA_M0775_1.02;2491
chr2;stkA_M0775_1.02;2518
chr2;stkA_M0775_1.02;2545
chr2;stkA_M0775_1.02;2560
chr2;stkA_M0775_1.02;2610
chr2;stkA_M0775_1.02;2660
chr2;stkA_M0775_1.02;2685
chr2;stkA_M0775_1.02;2721
chr2;stkA_M0775_1.02;2748
chr2;stkA_M0775_1.02;2782
chr2;stkA_M0775_1.02;2788
chr2;stkA_M0775_1.02;2899
chr2;stkA_M0775_1.02;2976
chr2;stkA_M0775_1.02;3007
chr2;stkA_M0775_1.02;3007
chr2;stkA_M0775_1.02;3067
chr2;stkA_M0775_1.02;3252
chr2;stkA_M0775_1.02;3260
chr2;stkA_M0775_1.02;3274
chr2;stkA_M0775_1.02;3283
chr2;stkA_M0775_1.02;3451
chr2;stkA_M0775_1.02;3540
chr2;stkA_M0775_1.02;3542
chr2;stkA_M0775_1.02;3598
chr2;stkA_M0775_1.02;3638
chr2;stkA_M0775_1.02;3639
chr2;stkA_M0775_1.02;3769
chr2;stkA_M0775_1.02;3835
chr2;stkA_M0775_1.02;3897
chr2;stkA_M0775_1.02;3919
chr2;stkA_M0775_1.02;3929
chr2;stkA_M0775_1.02;4019
chr2;stkA_M0775_1.02;4039
chr2;stkA_M0775_1.02;4171
chr2;stkA_M0775_1.02;4184
chr2;stkA_M0775_1.02;4209
chr2;stkA_M0775_1.02;44
chr2;stkA_M0775_1.02;59
chr2;stkA_M0775_1.02;84
chr2;stkA_M0775_1.02;171
chr2;stkA_M0775_1.02;188
chr2;stkA_M0775_1.02;231
chr2;stkA_M0775_1.02;276
chr2;stkA_M0775_1.02;356
chr2;stkA_M0775_1.02;358
chr2;stkA_M0775_1.02;441
chr2;stkA_M0775_1.02;497
chr2;stkA_M0775_1.02;612
chr2;stkA_M0775_1.02;629
chr2;stkA_M0775_1.02;637
chr2;stkA_M0775_1.02;727
chr2;stkA_M0775_1.02;732
chr2;stkA_M0775_1.02;758
chr2;stkA_M0775_1.02;784
chr2;stkA_M0775_1.02;859
chr2;stkA_M0775_1.02;910
chr2;stkA_M0775_1.02;930
chr2;stkA_M0775_1.02;1013
chr2;stkA_M0775_1.02;1110
chr2;stkA_M0775_1.02;1265
chr2;stkA_M0775_1.02;1345
chr2;stkA_M0775_1.02;1438
chr2;stkA_M0775_1.02;1451
chr2;stkA_M0775_1.02;1578
chr2;stkA_M0775_1.02;1579
chr2;stkA_M0775_1.02;1682
chr2;stkA_M0775_1.02;1795
chr2;stkA_M0775_1.02;1861
chr2;stkA_M0775_1.02;1926
chr2;stkA_M0775_1.02;1936
chr2;stkA_M0775_1.02;1975
chr2;stkA_M0775_1.02;2087
chr2;stkA_M0775_1.02;2122
chr2;stkA_M0775_1.02;2221
chr2;stkA_M0775_1.02;2356
chr2;stkA_M0775_1.02;2414
chr2;stkA_M0775_1.02;2448
chr2;stkA_M0775_1.02;2486
chr2;stkA_M0775_1.02;2491
chr2;stkA_M0775_1.02;2542
chr2;stkA_M0775_1.02;2553
chr2;stkA_M0775_1.02;2585
chr2;stkA_M0775_1.02;2666
chr2;stkA_M0775_1.02;2684
chr2;stkA_M0775_1.02;2817
chr2;stkA_M0775_1.02;2891
chr2;stkA_M0775_1.02;3097
chr2;stkA_M0775_1.02;3099
chr2;stkA_M0775_1.02;3210
chr2;stkA_M0775_1.02;3260
chr2;stkA_M0775_1.02;3414
chr2;stkA_M0775_1.02;3444
chr2;stkA_M0775_1.02;3530
chr2;stkA_M0775_1.02;3603
chr2;stkA_M0775_1.02;3606
chr2;stkA_M0775_1.02;3619
chr2;stkA_M0775_1.02;3702
chr2;stkA_M0775_1.02;3727
