Chr;Left;Right;Motif name;Frequency;Occuriencies around loop;Occuriencies in genome
chr2;223;242;hbx10_M0878_1.02;0.00032;1;3127
chr6;715;721;mybG_M1351_1.02;0.00013;1;7662
chr6;715;721;hbx5-1_M0873_1.02;0.00009;1;10702
chr6;715;721;E2F_M0666_1.02;0.00126;1;796
chr2;232;241;bzpH_M0283_1.02;0.00036;2;5514
chr6;24;34;hbx5-1_M0873_1.02;0.00019;2;10702
chr6;24;34;mybV_M1348_1.02;0.00041;1;2436
chr6;24;34;mybG_M1351_1.02;0.00013;1;7662
chr6;24;34;gtaT_M0778_1.02;0.00188;1;532
chr6;24;34;gtaL_M0780_1.02;0.00286;1;350
chr6;24;34;gtaI_M0779_1.02;0.00277;1;361
chr6;24;34;gbfA_M1673_1.02;0.00023;1;4289
chr6;24;34;hbx10_M0878_1.02;0.00032;1;3127
chr5;1157;1163;mybG_M1351_1.02;0.00052;4;7662
chr5;1157;1163;hbx2_M0875_1.02;0.00211;1;474
chr5;1157;1163;bzpH_M0283_1.02;0.00036;2;5514
chr5;1157;1163;srfA_M1297_1.02;0.00081;1;1240
chr5;1157;1163;gbfA_M1673_1.02;0.00047;2;4289
chr5;1157;1163;hbx10_M0878_1.02;0.00032;1;3127
chr2;2946;2953;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;2946;2953;mybV_M1348_1.02;0.00041;1;2436
chr2;2946;2953;mybG_M1351_1.02;0.00013;1;7662
chr2;2946;2953;gtaE_M0773_1.02;0.00057;1;1766
chr2;2946;2953;gbfA_M1673_1.02;0.00023;1;4289
chr2;2946;2953;hbx10_M0878_1.02;0.00032;1;3127
chr2;2946;2953;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr6;1362;1369;hbx5-1_M0873_1.02;0.00009;1;10702
chr6;1362;1369;mybV_M1348_1.02;0.00041;1;2436
chr6;1362;1369;mybG_M1351_1.02;0.00026;2;7662
chr6;1362;1369;hbx10_M0878_1.02;0.00032;1;3127
chr6;1362;1369;gtaN_M0781_1.02;0.00610;1;164
chr6;1362;1369;hbx5-2_M0874_1.02;0.00033;1;3073
chr4;1554;1567;stkA_M0775_1.02;0.00172;1;583
chr4;1554;1567;mybG_M1351_1.02;0.00013;1;7662
chr4;1554;1567;bzpJ_M0282_1.02;0.00099;1;1011
chr4;1554;1567;hbx7_M0876_1.02;0.00292;1;343
chr4;1554;1567;hbx10_M0878_1.02;0.00064;2;3127
chr4;1554;1567;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr2;205;223;hbx5-1_M0873_1.02;0.00028;3;10702
chr2;205;223;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;1063;1072;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;1063;1072;bzpH_M0283_1.02;0.00036;2;5514
chr1;1494;1502;mybG_M1351_1.02;0.00013;1;7662
chr1;1494;1502;gbfA_M1673_1.02;0.00023;1;4289
chr1;1494;1502;hbx10_M0878_1.02;0.00032;1;3127
chr1;1494;1502;E2F_M0666_1.02;0.00126;1;796
chr4;54;60;mybG_M1351_1.02;0.00013;1;7662
chr4;54;60;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;54;60;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr2;2119;2126;mybG_M1351_1.02;0.00013;1;7662
chr2;2119;2126;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;2119;2126;gbfA_M1673_1.02;0.00047;2;4289
chr2;2119;2126;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;2119;2126;hbx2_M0875_1.02;0.00211;1;474
chr5;2059;2064;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr5;2059;2064;DDB_G0270590_M1714_1.02;0.00228;1;439
chr5;2059;2064;hbx4_M0872_1.02;0.00218;1;459
chr5;350;360;mybG_M1351_1.02;0.00013;1;7662
chr5;350;360;stkA_M0775_1.02;0.00172;1;583
chr5;350;360;gbfA_M1673_1.02;0.00023;1;4289
chr5;350;360;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;74;85;mybG_M1351_1.02;0.00026;2;7662
chr2;74;85;stkA_M0775_1.02;0.00172;1;583
chr2;74;85;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;297;309;mybG_M1351_1.02;0.00026;2;7662
chr2;297;309;srfA_M1297_1.02;0.00081;1;1240
chr2;297;309;mybE_M1349_1.02;0.00171;1;584
chr2;297;309;hbx10_M0878_1.02;0.00064;2;3127
chr2;297;309;gtaN_M0781_1.02;0.00610;1;164
chr3;481;490;mybG_M1351_1.02;0.00013;1;7662
chr3;481;490;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;481;490;mybV_M1348_1.02;0.00041;1;2436
chr3;481;490;gtaH_M0777_1.02;0.00277;1;361
chr3;481;490;hbx2_M0875_1.02;0.00211;1;474
chr3;3090;3102;mybG_M1351_1.02;0.00013;1;7662
chr3;3090;3102;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;1171;1179;mybG_M1351_1.02;0.00013;1;7662
chr1;1171;1179;hbx7_M0876_1.02;0.00292;1;343
chr1;1171;1179;hbx4_M0872_1.02;0.00218;1;459
chr2;50;59;mybG_M1351_1.02;0.00026;2;7662
chr2;50;59;stkA_M0775_1.02;0.00343;2;583
chr2;50;59;gtaG_M0774_1.02;0.01156;2;173
chr2;50;59;mybE_M1349_1.02;0.00171;1;584
chr2;50;59;hbx10_M0878_1.02;0.00032;1;3127
chr2;2701;2707;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;2603;2612;hbx5-1_M0873_1.02;0.00028;3;10702
chr3;2603;2612;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;2603;2612;gbfA_M1673_1.02;0.00047;2;4289
chr3;2603;2612;hbx10_M0878_1.02;0.00032;1;3127
chr1;1833;1841;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;283;298;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;283;298;mybE_M1349_1.02;0.00171;1;584
chr6;107;123;gtaG_M0774_1.02;0.00578;1;173
chr6;107;123;gtaT_M0778_1.02;0.00376;2;532
chr6;107;123;hbx4_M0872_1.02;0.00218;1;459
chr6;107;123;DDB_G0270590_M1714_1.02;0.00228;1;439
chr6;477;485;mybG_M1351_1.02;0.00026;2;7662
chr6;477;485;hbx5-1_M0873_1.02;0.00009;1;10702
chr6;477;485;gbfA_M1673_1.02;0.00023;1;4289
chr6;477;485;bzpH_M0283_1.02;0.00036;2;5514
chr6;477;485;hbx10_M0878_1.02;0.00032;1;3127
chr5;270;280;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;270;280;mybG_M1351_1.02;0.00013;1;7662
chr5;270;280;bzpH_M0283_1.02;0.00073;4;5514
chr5;270;280;gbfA_M1673_1.02;0.00023;1;4289
chr5;270;280;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;270;280;hbx10_M0878_1.02;0.00032;1;3127
chr1;678;690;hbx5-1_M0873_1.02;0.00028;3;10702
chr1;678;690;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr1;678;690;gtaL_M0780_1.02;0.00286;1;350
chr1;678;690;gtaI_M0779_1.02;0.00277;1;361
chr5;2084;2093;mybG_M1351_1.02;0.00026;2;7662
chr5;2084;2093;hbx5-1_M0873_1.02;0.00028;3;10702
chr1;2386;2399;hbx2_M0875_1.02;0.00211;1;474
chr6;1335;1348;mybG_M1351_1.02;0.00013;1;7662
chr6;1335;1348;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr6;1335;1348;bzpJ_M0282_1.02;0.00099;1;1011
chr2;843;850;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;843;850;hbx7_M0876_1.02;0.00292;1;343
chr2;843;850;gbfA_M1673_1.02;0.00023;1;4289
chr3;445;457;mybG_M1351_1.02;0.00013;1;7662
chr3;445;457;hbx5-1_M0873_1.02;0.00019;2;10702
chr3;445;457;bzpH_M0283_1.02;0.00036;2;5514
chr3;970;977;bzpH_M0283_1.02;0.00036;2;5514
chr3;970;977;srfA_M1297_1.02;0.00161;2;1240
chr3;970;977;hbx10_M0878_1.02;0.00032;1;3127
chr1;2386;2394;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;2386;2394;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;2386;2394;hbx2_M0875_1.02;0.00211;1;474
chr3;445;451;hbx5-1_M0873_1.02;0.00009;1;10702
